1,Piston (Seher),Mesin,Semua,100.000 - 300.000
2,Ring Piston,Mesin,Semua,50.000 - 150.000
3,Pen Piston,Mesin,Semua,20.000 - 50.000
4,Blok Silinder,Mesin,Semua,250.000 - 700.000
5,Head Silinder,Mesin,Semua,300.000 - 800.000
6,Klep In (Valve Intake),Mesin,Semua,40.000 - 100.000
7,Klep Ex (Valve Exhaust),Mesin,Semua,40.000 - 100.000
8,Noken As (Camshaft),Mesin,Semua,150.000 - 450.000
9,Pelatuk Klep (Rocker Arm),Mesin,Semua,80.000 - 200.000
10,Rantai Keteng (Cam Chain),Mesin,Semua,60.000 - 150.000
11,Tensioner Rantai Keteng,Mesin,Semua,80.000 - 250.000
12,Lidah Tensioner,Mesin,Semua,30.000 - 80.000
13,Kruk As (Crankshaft),Mesin,Semua,400.000 - 1.200.000
14,Stang Seher (Connecting Rod),Mesin,Semua,150.000 - 350.000
15,Bearing Kruk As,Mesin,Semua,60.000 - 150.000
16,Seal Kruk As,Mesin,Semua,15.000 - 50.000
17,Pompa Oli,Mesin,Semua,80.000 - 200.000
18,Gigi Pompa Oli,Mesin,Semua,20.000 - 60.000
19,Gasket Blok Mesin (Paking Bawah),Mesin,Semua,10.000 - 30.000
20,Gasket Head (Paking Atas),Mesin,Semua,20.000 - 60.000
21,Busi (Spark Plug),Pengapian,Semua,15.000 - 100.000
22,Cop Busi,Pengapian,Semua,20.000 - 50.000
23,Koil Pengapian,Pengapian,Semua,80.000 - 250.000
24,CDI (Capacitor Discharge Ignition),Kelistrikan,Karburator,150.000 - 500.000
25,ECU (Engine Control Unit),Kelistrikan,Injeksi,600.000 - 2.000.000
26,Kiprok (Regulator/Rectifier),Kelistrikan,Semua,100.000 - 350.000
27,Spul (Stator/Generator),Kelistrikan,Semua,150.000 - 450.000
28,Magnet (Rotor),Kelistrikan,Semua,250.000 - 700.000
29,Bendik Starter,Kelistrikan,Semua,40.000 - 120.000
30,Dinamo Starter,Kelistrikan,Semua,150.000 - 400.000
31,Aki (Battery) Kering,Kelistrikan,Semua,150.000 - 350.000
32,Kabel Bodi (Wire Harness),Kelistrikan,Semua,250.000 - 700.000
33,Sekring (Fuse),Kelistrikan,Semua,2.000 - 10.000
34,Karburator Assy,Bahan Bakar,Karburator,250.000 - 800.000
35,Pilot Jet,Bahan Bakar,Karburator,15.000 - 35.000
36,Main Jet,Bahan Bakar,Karburator,15.000 - 35.000
37,Throttle Body,Bahan Bakar,Injeksi,300.000 - 900.000
38,Injektor,Bahan Bakar,Injeksi,150.000 - 400.000
39,Fuel Pump,Bahan Bakar,Injeksi,250.000 - 650.000
